nohup: ignoring input
=== Linux 监控采集器已启动 ===
[系统] 数据库初始化完成: monitor.db
开始循环采集 (按 Ctrl+C 停止)...

[07:00:23] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[07:00:29] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[07:00:35] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[07:00:41] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[07:00:47] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[07:00:53] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[07:00:59] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[07:01:05] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[07:01:11] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[07:01:17] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[07:01:23] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[07:01:29] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[07:01:35] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
